[2026-03-11 18:52:32] TCP | 13.69.239.72 -> 192.168.1.198 | Port 443 -> 60012
[2026-03-11 18:52:32] TCP | 13.69.239.72 -> 192.168.1.198 | Port 443 -> 60012
[2026-03-11 18:52:32] TCP | 13.69.239.72 -> 192.168.1.198 | Port 443 -> 60012
[2026-03-11 18:52:32] TCP | 192.168.1.198 -> 13.69.239.72 | Port 60012 -> 443
[2026-03-11 18:52:32] TCP | 192.168.1.198 -> 13.69.239.72 | Port 60012 -> 443
[2026-03-11 18:52:32] TCP | 192.168.1.198 -> 13.69.239.72 | Port 60012 -> 443
[2026-03-11 18:52:32] TCP | 13.69.239.72 -> 192.168.1.198 | Port 443 -> 60012
[2026-03-11 18:52:32] TCP | 13.69.239.72 -> 192.168.1.198 | Port 443 -> 60012
[2026-03-11 18:52:32] TCP | 192.168.1.198 -> 192.168.1.19 | Port 59717 -> 8008
[2026-03-11 18:52:32] UDP | 192.168.1.19 -> 224.0.0.251 | Port 5353 -> 5353
[2026-03-11 18:52:32] UDP | 192.168.1.19 -> 224.0.0.251 | Port 5353 -> 5353
[2026-03-11 18:52:32] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8008 -> 59717
[2026-03-11 18:52:35] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50846 -> 8009
[2026-03-11 18:52:35] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50821 -> 8009
[2026-03-11 18:52:35] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 50846
[2026-03-11 18:52:35] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 50821
[2026-03-11 18:52:35] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:35] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:35] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:35] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:35] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50846 -> 8009
[2026-03-11 18:52:35] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50821 -> 8009
[2026-03-11 18:52:35] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:36] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:36] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:36] UDP | 192.168.1.1 -> 192.168.1.198 | Port 19908 -> 12458
[2026-03-11 18:52:36] UDP | 192.168.1.1 -> 192.168.1.198 | Port 19908 -> 12458
[2026-03-11 18:52:36] UDP | 192.168.1.1 -> 192.168.1.198 | Port 19908 -> 12458
[2026-03-11 18:52:36] UDP | 192.168.1.1 -> 192.168.1.198 | Port 19908 -> 12458
[2026-03-11 18:52:36] UDP | 192.168.1.1 -> 192.168.1.198 | Port 19908 -> 12458
[2026-03-11 18:52:36] UDP | 192.168.1.1 -> 192.168.1.198 | Port 19908 -> 12458
[2026-03-11 18:52:36] UDP | 192.168.1.1 -> 192.168.1.198 | Port 19908 -> 12458
[2026-03-11 18:52:36] UDP | 192.168.1.1 -> 192.168.1.198 | Port 19908 -> 12458
[2026-03-11 18:52:36] UDP | 192.168.1.1 -> 192.168.1.198 | Port 19908 -> 12458
